,Picture,Name,Date of Birth,Birthplace
0,https://resizing.flixster.com/e75--6Rkikl5uOcUoB_sChsCIfw=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/641238/641238_v9_bb.jpg,Julia Garner,"Feb 1, 1994","New York, New York, USA"
1,https://resizing.flixster.com/ZRz9f6ihk1QWcYbfhBNWJ6gjgXw=/218x280/v2/https://flxt.tmsimg.com/assets/320_v9_ba.jpg,Anna Chlumsky,"Dec 3, 1980","Chicago, Illinois, USA"
2,https://resizing.flixster.com/be9QZoZxNPoS6pRjiMR2NQpo078=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/484933/484933_v9_bb.jpg,Alan Ritchson,"Nov 28, 1984","Grand Forks, North Dakota, USA"
3,https://resizing.flixster.com/f7RkGOvIJBjJWvgc30zdttgAJa4=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/758405/758405_v9_ba.jpg,Willa Fitzgerald,"Jan 17, 1991","Nashville, Tennessee, USA"
4,https://resizing.flixster.com/-oDHRjXfBj2S-KDS7eQ12pKj4rc=/218x280/v2/https://flxt.tmsimg.com/assets/658637_v9_bb.jpg,Lily James,"Apr 5, 1989","Esher, Surrey, England, UK"
5,https://resizing.flixster.com/C5qMESc2A0iUGdELVCJbU7TcWpQ=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/515246/515246_v9_bb.jpg,Austin Butler,"Aug 17, 1991","Anaheim, California, USA"
6,https://resizing.flixster.com/B4VOPJcf2Iil9AO04v1MfZhxJBQ=/218x280/v2/https://flxt.tmsimg.com/assets/1240984_v9_ba.jpg,Hunter Schafer,"Dec 31, 1998","Trenton, New Jersey, USA"
7,https://resizing.flixster.com/RQBU1TpJSfcj0ilNOZos4hMV2t8=/218x280/v2/https://flxt.tmsimg.com/assets/249332_v9_bb.jpg,Morena Baccarin,"Jun 2, 1979","Rio de Janeiro, Rio de Janeiro, Brazil"
8,https://resizing.flixster.com/_k_9QOpUKf64A6rdkZH_p3IKWMs=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/555566/555566_v9_ba.jpg,Sydney Sweeney,"Sep 12, 1997","Spokane, Washington, USA"
9,https://resizing.flixster.com/FW8ehoINW6NDMKHqCmlCjQWB17g=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/331642/331642_v9_bb.jpg,Jennifer Holland,"Nov 9, 1987","Chicago, Illinois, USA"
10,https://resizing.flixster.com/VuY8OPZjtKecpJnUp1PfXEK1hPc=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/591658/591658_v9_bb.jpg,Zendaya,"Sep 1, 1996","Oakland, California, USA"
11,https://resizing.flixster.com/QAlCN6s6DBck9SZOgjRKom6DxFw=/218x280/v2/https://flxt.tmsimg.com/assets/67990_v9_bb.jpg,Pamela Anderson,"Jul 1, 1967","Ladysmith, British Columbia, Canada"
12,https://resizing.flixster.com/9JZUXc4XKxgkY0St6xktpyqk3s8=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/27942/27942_v9_bb.jpg,Ivan Reitman,"Oct 27, 1946","Komárno, Czechoslovakia"
13,https://resizing.flixster.com/YMDrGleAYiTHu4l_WpVaURjbJq4=/218x280/v2/https://flxt.tmsimg.com/assets/1126450_v9_ba.jpg,Isabel May,"Nov 21, 2000","Santa Monica, California, USA"
14,https://resizing.flixster.com/hxyE9J9lVLXVaY8trcWCn59iI4U=/218x280/v2/https://flxt.tmsimg.com/assets/527935_v9_bb.jpg,Caitlin FitzGerald,"Aug 25, 1983","Camden, Knox County, Maine, USA"
15,https://resizing.flixster.com/-YGauequ6_gi8Ss-e1YrpkgQ17Y=/218x280/v2/https://flxt.tmsimg.com/assets/1115346_v9_ba.jpg,Zach Avery,"Dec 5, 1986","Berkeley, California, United States"
16,https://resizing.flixster.com/33Bcc2YsW53OguYMS_WZeeqjRMs=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/320046/320046_v9_ba.jpg,Taylor Sheridan,"May 21, 1970","Cranfills Gap, Texas, USA"
17,https://resizing.flixster.com/ieg7s0hKcRaS950cnwsBqyhDw0A=/218x280/v2/https://flxt.tmsimg.com/assets/630729_v9_ba.jpg,Freddie Stroma,"Jan 8, 1987","London, England, UK"
18,https://resizing.flixster.com/qr3HiWaCT6U-02xmyb9XpdiOT-k=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/571839/571839_v9_bb.jpg,Laverne Cox,"May 29, 1972","Mobile, Alabama, USA"
